hhid,id,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
1005,8663,1,5,2,181.7276244976404,13,11.2930174,2.4290387,0
1019,8663,1,19,2,181.7276244976404,2,11.2930174,2.4290387,0
1026,8663,1,26,2,181.7276244976404,1,11.2930174,2.4290387,0
1032,8663,1,32,2,181.7276244976404,6,11.2930174,2.4290387,0
1046,8663,1,46,2,181.7276244976404,5,11.2930174,2.4290387,1
1053,8663,1,53,2,181.7276244976404,16,11.2930174,2.4290387,0
1060,8663,1,60,2,181.7276244976404,2,11.2930174,2.4290387,0
1073,8663,1,73,2,181.7276244976404,2,11.2930174,2.4290387,1
1080,8663,1,80,2,181.7276244976404,3,11.2930174,2.4290387,1
1087,8663,1,87,2,181.7276244976404,3,11.2930174,2.4290387,1
1101,8663,1,101,2,181.7276244976404,8,11.2930174,2.4290387,0
1107,8663,1,107,2,181.7276244976404,4,11.2930174,2.4290387,0
2008,8663,2,8,1,371.30278802501743,11,11.2949305,2.4363034,1
2018,8663,2,18,1,371.30278802501743,5,11.2949305,2.4363034,0
2028,8663,2,28,1,371.30278802501743,6,11.2949305,2.4363034,1
2038,8663,2,38,1,371.30278802501743,3,11.2949305,2.4363034,1
2049,8663,2,49,1,371.30278802501743,6,11.2949305,2.4363034,1
2059,8663,2,59,1,371.30278802501743,4,11.2949305,2.4363034,1
2069,8663,2,69,1,371.30278802501743,4,11.2949305,2.4363034,1
2079,8663,2,79,1,371.30278802501743,6,11.2949305,2.4363034,1
2090,8663,2,90,1,371.30278802501743,10,11.2949305,2.4363034,0
2100,8663,2,100,1,371.30278802501743,1,11.2949305,2.4363034,1
2110,8663,2,110,1,371.30278802501743,1,11.2949305,2.4363034,0
2120,8663,2,120,1,371.30278802501743,5,11.2949305,2.4363034,0
3010,10208,3,10,1,345.8772412030602,10,11.471217,2.5985336,1
3020,10208,3,20,1,345.8772412030602,1,11.471217,2.5985336,1
3031,10208,3,31,1,345.8772412030602,5,11.471217,2.5985336,0
3041,10208,3,41,1,345.8772412030602,7,11.471217,2.5985336,1
3051,10208,3,51,1,345.8772412030602,7,11.471217,2.5985336,1
3061,10208,3,61,1,345.8772412030602,9,11.471217,2.5985336,1
3072,10208,3,72,1,345.8772412030602,4,11.471217,2.5985336,1
3082,10208,3,82,1,345.8772412030602,9,11.471217,2.5985336,1
3092,10208,3,92,1,345.8772412030602,3,11.471217,2.5985336,1
3103,10208,3,103,1,345.8772412030602,5,11.471217,2.5985336,1
3113,10208,3,113,1,345.8772412030602,6,11.471217,2.5985336,1
3123,10208,3,123,1,345.8772412030602,4,11.471217,2.5985336,1
4016,8915,4,16,2,301.4528019278933,2,11.3717847783118,2.46761083602905,0
4024,8915,4,24,2,301.4528019278933,4,11.3717847783118,2.46761083602905,0
4032,8915,4,32,2,301.4528019278933,6,11.3717847783118,2.46761083602905,0
4048,8915,4,48,2,301.4528019278933,1,11.3717847783118,2.46761083602905,0
4056,8915,4,56,2,301.4528019278933,8,11.3717847783118,2.46761083602905,1
4064,8915,4,64,2,301.4528019278933,5,11.3717847783118,2.46761083602905,1
4080,8915,4,80,2,301.4528019278933,7,11.3717847783118,2.46761083602905,1
4088,8915,4,88,2,301.4528019278933,3,11.3717847783118,2.46761083602905,1
4097,8915,4,97,2,301.4528019278933,7,11.3717847783118,2.46761083602905,1
4113,8915,4,113,2,301.4528019278933,6,11.3717847783118,2.46761083602905,1
4121,8915,4,121,2,301.4528019278933,10,11.3717847783118,2.46761083602905,1
4129,8915,4,129,2,301.4528019278933,3,11.3717847783118,2.46761083602905,1
5003,7418,5,3,1,269.7968822170472,4,11.147471,2.2956955,1
5010,7418,5,10,1,269.7968822170472,7,11.147471,2.2956955,0
5017,7418,5,17,1,269.7968822170472,2,11.147471,2.2956955,0
5024,7418,5,24,1,269.7968822170472,7,11.147471,2.2956955,0
5031,7418,5,31,1,269.7968822170472,5,11.147471,2.2956955,0
5038,7418,5,38,1,269.7968822170472,3,11.147471,2.2956955,0
5046,7418,5,46,1,269.7968822170472,2,11.147471,2.2956955,1
5053,7418,5,53,1,269.7968822170472,3,11.147471,2.2956955,1
5060,7418,5,60,1,269.7968822170472,4,11.147471,2.2956955,0
5067,7418,5,67,1,269.7968822170472,5,11.147471,2.2956955,0
5074,7418,5,74,1,269.7968822170472,4,11.147471,2.2956955,0
5081,7418,5,81,1,269.7968822170472,6,11.147471,2.2956955,0
6004,7416,6,4,2,385.7299293485947,4,11.191006,2.2829509,0
6014,7416,6,14,2,385.7299293485947,6,11.191006,2.2829509,1
6033,7416,6,33,2,385.7299293485947,6,11.191006,2.2829509,0
6042,7416,6,42,2,385.7299293485947,2,11.191006,2.2829509,0
6052,7416,6,52,2,385.7299293485947,5,11.191006,2.2829509,0
6071,7416,6,71,2,385.7299293485947,4,11.191006,2.2829509,0
6081,7416,6,81,2,385.7299293485947,21,11.191006,2.2829509,1
6090,7416,6,90,2,385.7299293485947,4,11.191006,2.2829509,1
6109,7416,6,109,2,385.7299293485947,7,11.191006,2.2829509,0
6119,7416,6,119,2,385.7299293485947,11,11.191006,2.2829509,0
6128,7416,6,128,2,385.7299293485947,6,11.191006,2.2829509,0
6148,7416,6,148,2,385.7299293485947,10,11.191006,2.2829509,0
7008,7650,7,8,1,430.22746120854913,6,11.2016326,2.3080135,1
7016,7650,7,16,1,430.22746120854913,7,11.2016326,2.3080135,0
7024,7650,7,24,1,430.22746120854913,4,11.2016326,2.3080135,1
7032,7650,7,32,1,430.22746120854913,3,11.2016326,2.3080135,1
7040,7650,7,40,1,430.22746120854913,4,11.2016326,2.3080135,1
7048,7650,7,48,1,430.22746120854913,3,11.2016326,2.3080135,1
7055,7650,7,55,1,430.22746120854913,5,11.2016326,2.3080135,1
7063,7650,7,63,1,430.22746120854913,11,11.2016326,2.3080135,1
7071,7650,7,71,1,430.22746120854913,2,11.2016326,2.3080135,1
7079,7650,7,79,1,430.22746120854913,8,11.2016326,2.3080135,1
7087,7650,7,87,1,430.22746120854913,17,11.2016326,2.3080135,1
